2014,2014-07-04T13:00:00,Quarter-finals,Estadio do Maracana,Rio De Janeiro ,France,0,1,Germany, ,74240,0,1,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),828,5828,FRA,GER
2014,2014-07-01T17:00:00,Round of 16,Arena Fonte Nova,Salvador ,Belgium,2,1,USA,Belgium win after extra time ,51227,0,0,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),825,5825,BEL,USA
2014,2014-07-01T17:00:00,Round of 16,Arena Fonte Nova,Salvador ,Belgium,2,1,USA,Belgium win after extra time ,51227,0,0,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),826,5826,BEL,USA
2014,2014-07-01T13:00:00,Round of 16,Arena de Sao Paulo,Sao Paulo ,Argentina,1,0,Switzerland,Argentina win after extra time ,63255,0,0,ERIKSSON Jonas (SWE),KLASENIUS Mathias (SWE),WARNMARK Daniel (SWE),823,5823,ARG,SUI
2014,2014-07-01T13:00:00,Round of 16,Arena de Sao Paulo,Sao Paulo ,Argentina,1,0,Switzerland,Argentina win after extra time ,63255,0,0,ERIKSSON Jonas (SWE),KLASENIUS Mathias (SWE),WARNMARK Daniel (SWE),824,5824,ARG,SUI
2014,2014-06-30T17:00:00,Round of 16,Estadio Beira-Rio,Porto Alegre ,Germany,2,1,Algeria,Germany win after extra time ,,0,0,RICCI Sandro (BRA),DE CARVALHO Emerson (BRA),VAN GASSE Marcelo (BRA),822,5822,GER,ALG
2014,2014-06-30T13:00:00,Round of 16,Estadio Nacional,Brasilia ,France,2,0,Nigeria, ,67882,0,0,GEIGER Mark (USA),HURD Sean (USA),FLETCHER Joe (CAN),819,5819,FRA,NGA
2014,2014-06-30T13:00:00,Round of 16,Estadio Nacional,Brasilia ,France,2,0,Nigeria, ,67882,0,0,GEIGER Mark (USA),HURD Sean (USA),FLETCHER Joe (CAN),820,5820,FRA,NGA
2014,2014-06-29T17:00:00,Round of 16,Arena Pernambuco,Recife ,Costa Rica,1,1,Greece,Costa Rica win on penalties (5 - 3) ,41242,0,0,Ben WILLIAMS (AUS),CREAM Matthew (AUS),ANAZ Hakan (AUS),817,5817,CRC,GRE
2014,2014-06-29T17:00:00,Round of 16,Arena Pernambuco,Recife ,Costa Rica,1,1,Greece,Costa Rica win on penalties (5 - 3) ,41242,0,0,Ben WILLIAMS (AUS),CREAM Matthew (AUS),ANAZ Hakan (AUS),818,5818,CRC,GRE
2014,2014-06-29T13:00:00,Round of 16,Estadio Castelao,Fortaleza ,Netherlands,2,1,Mexico, ,58817,0,0,PROENCA Pedro (POR),MIRANDA Bertino (POR),TRIGO Jose (POR),815,5815,NED,MEX
2014,2014-06-29T13:00:00,Round of 16,Estadio Castelao,Fortaleza ,Netherlands,2,1,Mexico, ,58817,0,0,PROENCA Pedro (POR),MIRANDA Bertino (POR),TRIGO Jose (POR),816,5816,NED,MEX
2014,2014-06-28T17:00:00,Round of 16,Estadio do Maracana,Rio De Janeiro ,Colombia,2,0,Uruguay, ,73804,1,0,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),813,5813,COL,URU
2014,2014-06-28T17:00:00,Round of 16,Estadio do Maracana,Rio De Janeiro ,Colombia,2,0,Uruguay, ,73804,1,0,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),814,5814,COL,URU
2014,2014-06-28T13:00:00,Round of 16,Estadio Mineirao,Belo Horizonte ,Brazil,1,1,Chile,Brazil win on penalties (3 - 2) ,57714,0,0,WEBB Howard (ENG),MULLARKEY Michael (ENG),Darren CANN (ENG),811,5811,BRA,CHI
2014,2014-06-28T13:00:00,Round of 16,Estadio Mineirao,Belo Horizonte ,Brazil,1,1,Chile,Brazil win on penalties (3 - 2) ,57714,0,0,WEBB Howard (ENG),MULLARKEY Michael (ENG),Darren CANN (ENG),812,5812,BRA,CHI
2014,2014-06-26T17:00:00,Group H,Arena de Sao Paulo,Sao Paulo ,Korea Republic,0,1,Belgium, ,61397,0,0,Ben WILLIAMS (AUS),CREAM Matthew (AUS),ANAZ Hakan (AUS),809,5809,KOR,BEL
2014,2014-06-26T17:00:00,Group H,Arena da Baixada,Curitiba ,Algeria,1,1,Russia, ,39311,0,1,C�neyt �AKIR (TUR),DURAN Bahattin (TUR),ONGUN Tarik (TUR),810,5810,ALG,RUS
2014,2014-06-26T13:00:00,Group G,Arena Pernambuco,Recife ,USA,0,1,Germany, ,41876,0,0,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),807,5807,USA,GER
2014,2014-06-26T13:00:00,Group G,Estadio Nacional,Brasilia ,Portugal,2,1,Ghana, ,67540,1,0,SHUKRALLA Nawaf (BHR),TULEFAT Yaser (BHR),SALEH Ebrahim (BHR),808,5808,POR,GHA
2014,2014-06-25T17:00:00,Group E,Estadio do Maracana,Rio De Janeiro ,Ecuador,0,0,France, ,73749,0,0,Noumandiez DOUE (CIV),YEO Songuifolo (CIV),BIRUMUSHAHU Jean Claude (BDI),806,5806,ECU,FRA
2014,2014-06-25T16:00:00,Group E,Arena Amazonia,Manaus ,Honduras,0,3,Switzerland, ,40322,0,2,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),805,5805,HON,SUI
2014,2014-06-25T13:00:00,Group F,Estadio Beira-Rio,Porto Alegre ,Nigeria,2,3,Argentina, ,43285,1,2,Nicola RIZZOLI (ITA),Renato FAVERANI (ITA),Andrea STEFANI (ITA),803,5803,NGA,ARG
2014,2014-06-25T13:00:00,Group F,Arena Fonte Nova,Salvador ,"rn"">Bosnia and Herzegovina",3,1,IR Iran, ,48011,1,0,Carlos VELASCO CARBALLO (ESP),ALONSO FERNANDEZ Roberto (ESP),YUSTE Juan (ESP),804,5804,BIH,IRN
2014,2014-06-24T17:00:00,Group C,Estadio Castelao,Fortaleza ,Greece,2,1,C�te d'Ivoire, ,59095,1,0,VERA Carlos (ECU),LESCANO Christian (ECU),ROMERO Byron (ECU),802,5802,GRE,CIV
2014,2014-06-24T16:00:00,Group C,Arena Pantanal,Cuiaba ,Japan,1,4,Colombia, ,40340,1,1,PROENCA Pedro (POR),MIRANDA Bertino (POR),TRIGO Jose (POR),801,5801,JPN,COL
2014,2014-06-24T13:00:00,Group D,Estadio das Dunas,Natal ,Italy,0,1,Uruguay, ,39706,0,0,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),799,5799,ITA,URU
